ground,building,vegetation,road,vehicle,other
135563,3053,16438,11421,5161,8478
154679,575834,10746,8266,8876,21968
98306,57508,537430,13586,28638,81836
174144,17030,28799,306229,22364,9054
1672,4309,193,1417,27956,1098
7427,11046,4093,2493,15304,16513
