ground,building,vegetation,road,vehicle,other
13739,504,419,31030,0,24470
12638,105823,274,1924,4,342067
81,6,8,590,0,20022
1915,55,87,7472,0,3730
155,5,10,1466,0,1627
1,0,0,5,0,14
