ground,building,vegetation,road,vehicle,other
130145,4961,3903,29457,5427,6221
79545,423567,93949,112885,10282,60141
189132,222959,184609,127300,34604,58700
247111,6027,648,286867,10468,6499
6070,3188,520,1759,17578,7530
12439,12853,3195,2444,8972,16973
