ground,building,vegetation,road,vehicle,other
52485,12004,1233,4426,14,0
17435,439306,3616,2358,15,0
2685,4199,13584,239,0,0
8609,1481,95,3074,0,0
2293,240,375,355,0,0
7,6,2,5,0,0
