ground,building,vegetation,road,vehicle,other
57595,4483,1106,6947,25,6
42737,414249,1445,4172,64,63
3106,3477,13428,531,2,163
9496,618,66,3078,1,0
1799,78,410,976,0,0
11,4,0,5,0,0
