ground,building,vegetation,road,vehicle,other
137386,4854,1836,26159,9520,359
143623,495544,54348,41582,16637,28635
224944,148673,224971,102110,52177,64429
265150,6893,485,264275,19690,1127
7550,3013,242,258,22192,3390
13555,9206,3149,1461,17851,11654
